COD_HOSPITAL,NOMBRE,cluster,silhouette,sil_negativo,iso_outlier,iso_score,dist_centroide,z_dist,dist_outlier,n_criterios,outlier_robusto,outlier_union
112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,2,0.10935172595857749,False,True,-0.6512318909913455,7.004793502317366,0.0,False,1,False,True
112104,Instituto de Neurocirugía Dr. Alfonso Asenjo,2,0.038427792798617105,False,True,-0.6407554073593624,7.004793502317366,0.0,False,1,False,True
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),3,0.1314250164110045,False,True,-0.6212087003908785,8.706956940937294,1.4467480354969333,False,1,False,True
113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",0,0.6755494061953814,False,True,-0.5978539171550088,4.184728321381743,0.5709592893638908,False,1,False,True
111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,3,0.043479579224095274,False,True,-0.5851008505524211,8.504800384542524,1.3389052233539163,False,1,False,True
112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",0,0.644592590528398,False,True,-0.5722637538097743,4.480157399064991,0.835013156462627,False,1,False,True
112100,"Hospital Del Salvador (Santiago, Providencia)",3,0.21343943289437517,False,True,-0.568230034049226,5.628710383397877,-0.19537909188818367,False,1,False,True
111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",1,0.3993864107786403,False,False,-0.528956106144519,8.195512365916862,3.600092281551672,True,1,False,True
116110,Hospital San José (Parral),3,-0.14128814781069046,True,False,-0.4755324735943274,6.112524141770322,0.06271709448767561,False,1,False,True
109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",0,0.7549751988756204,False,False,-0.5620314262937418,1.9728950860379213,-1.405972445826518,False,0,False,False
121117,Hospital de Pitrufquén,3,0.22537713567568637,False,False,-0.5277945590791313,3.717497563082471,-1.2149382336857317,False,0,False,False
121110,Hospital Dr. Abraham Godoy (Lautaro),3,0.09490469424078454,False,False,-0.5249834624996147,5.640860255867566,-0.18889759834833716,False,0,False,False
121114,Hospital Intercultural de Nueva Imperial,3,0.10472359442786847,False,False,-0.4821576057887687,3.6533557781928168,-1.2491554294162766,False,0,False,False
110150,Hospital San José (Melipilla),1,0.4761929381581625,False,False,-0.4806550666724544,5.273289330893321,1.1629728270777426,False,0,False,False
121121,Hospital de Villarrica,1,0.3349720856768566,False,False,-0.46236114271448686,5.822494605487006,1.621007290282631,False,0,False,False
126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,1,0.32275505131640675,False,False,-0.45803499347970883,5.619537466931421,1.4517420477361485,False,0,False,False
112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",1,0.4631713919826296,False,False,-0.4575427193054767,4.982867192513893,0.9207622103755443,False,0,False,False
109100,"Complejo Hospitalario San José (Santiago, Independencia)",1,0.4743798679636914,False,False,-0.45237451478964374,5.089426047828646,1.009631764896719,False,0,False,False
128109,Hospital Provincial Dr. Rafael Avaría (Curanilahue),1,0.28157595279001485,False,False,-0.4519610899450073,6.623086466300813,2.288696914140207,False,0,False,False
110130,Hospital Adalberto Steeger (Talagante),1,0.4523281287989766,False,False,-0.4513208534861051,5.210462484752874,1.1105755503616999,False,0,False,False
111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,1,0.27709014969936113,False,False,-0.4419440043023092,5.07990592940488,1.0016920335547308,False,0,False,False
115110,Hospital de Santa Cruz,1,0.4329862114306374,False,False,-0.4395265926473213,4.588608685737883,0.591952579680153,False,0,False,False
107100,Hospital Dr. Gustavo Fricke (Viña del Mar),1,0.38238010800271843,False,False,-0.43024240013990706,5.4400077470258505,1.3020151556426447,False,0,False,False
106103,Hospital Claudio Vicuña (San Antonio),1,0.32872922311787234,False,False,-0.4300793002364143,4.506810663941374,0.5237334369697987,False,0,False,False
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),1,0.49924139802948886,False,False,-0.42943338740554354,4.150361944357483,0.22645698044729934,False,0,False,False
107102,Hospital de Quilpué,1,0.47086623968403596,False,False,-0.4282566029855564,4.057395539912237,0.1489234622419804,False,0,False,False
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),1,0.37550712447630574,False,False,-0.4268909597519232,4.5041272278947595,0.5214954646741669,False,0,False,False
118105,Hospital San José (Coronel),1,0.3190469031494232,False,False,-0.4257456097882042,5.118284594115437,1.0336996487441976,False,0,False,False
113150,Hospital San Luis (Buin),1,0.44642789500111174,False,False,-0.42026543301064523,4.293883360337415,0.34615312643826407,False,0,False,False
125100,Hospital Regional (Coihaique),1,0.45797875703586793,False,False,-0.4192266229143682,4.443291911011126,0.47075911343772053,False,0,False,False
113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",1,0.34365392265038625,False,False,-0.41813931687282335,4.630518391200473,0.626905065267321,False,0,False,False
113180,"Hospital El Pino (Santiago, San Bernardo)",1,0.43801291886486815,False,False,-0.414218915401053,4.178230069048496,0.24969885761757685,False,0,False,False
133150,Hospital de Castro,1,0.46973553469379786,False,False,-0.4091354545685054,3.6055460647041273,-0.22791674924264663,False,0,False,False
129106,Hospital San José (Victoria),1,0.4234221963003888,False,False,-0.4080173360740507,4.038721712893929,0.13334958353034593,False,0,False,False
114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",1,0.465844795583641,False,False,-0.40619618545107844,3.649371206685125,-0.1913667991406651,False,0,False,False
117102,Hospital de San Carlos,1,0.32461065310942605,False,False,-0.40600193745732993,4.498236771343809,0.5165828532533415,False,0,False,False
106100,Hospital Carlos Van Buren (Valparaíso),1,0.3848591140088347,False,False,-0.4054227734997776,3.986219274728163,0.08956281163527367,False,0,False,False
108101,Hospital San Juan de Dios (Los Andes),1,0.4102156984026421,False,False,-0.4032373374258568,4.1148617132350385,0.19684996453171452,False,0,False,False
107101,Hospital San Martín (Quillota),1,0.4567417965112621,False,False,-0.4030656207931323,3.3524904656690238,-0.438963858269024,False,0,False,False
