COD_HOSPITAL,NOMBRE,cluster,n_cluster,silhouette,sil_negativo,iso_outlier,iso_score,dist_centroide,z_robusto_mad_global,dist_outlier_corregido,n_criterios,outlier_robusto,outlier_union
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),3,3,-0.1730622238845984,True,True,-0.6117744896994896,8.069450078949208,3.3156571108462165,True,3,True,True
112104,Instituto de Neurocirugía Dr. Alfonso Asenjo,3,3,0.05349196154995989,False,True,-0.6214589573326121,8.797392708304516,3.9045300100420564,True,2,True,True
111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,2,5,0.0860152354908644,False,True,-0.5912277822207431,7.997463969116173,3.257423580496781,True,2,True,True
112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,3,3,0.2696685014626787,False,True,-0.6172371224995654,4.884115659938581,0.738864601947099,False,1,False,True
113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",0,3,0.658101000975181,False,True,-0.6077196673236458,3.7649965847204574,-0.16645247634066943,False,1,False,True
112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",0,3,0.6272491021213453,False,True,-0.575962550811551,4.076781044114315,0.08576715076108814,False,1,False,True
112100,"Hospital Del Salvador (Santiago, Providencia)",2,5,0.292624587645267,False,True,-0.5719517792393335,4.80416624339571,0.6741891140582914,False,1,False,True
111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",1,54,0.4036357127534271,False,False,-0.5254449637201918,8.026512678181554,3.2809226817108117,True,1,False,True
107100,Hospital Dr. Gustavo Fricke (Viña del Mar),1,54,0.26780644770565054,False,False,-0.4641922380920531,7.965874016226531,3.231868727142392,True,1,False,True
109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",0,3,0.7361384719910067,False,False,-0.5612101533639321,1.7420318842525915,-1.8029400786540364,False,0,False,False
121117,Hospital de Pitrufquén,2,5,0.30960864711618197,False,False,-0.5318757509766872,3.852238319808032,-0.09587783020764336,False,0,False,False
121110,Hospital Dr. Abraham Godoy (Lautaro),2,5,0.18233081680352695,False,False,-0.49775666587326284,5.164982278387331,0.9660730840766961,False,0,False,False
110150,Hospital San José (Melipilla),1,54,0.4705536244812803,False,False,-0.48551128471913535,5.1618357216420785,0.9635276609645724,False,0,False,False
121114,Hospital Intercultural de Nueva Imperial,2,5,0.18575654054027912,False,False,-0.4835219021414006,3.495435678234587,-0.3845151451704597,False,0,False,False
121121,Hospital de Villarrica,1,54,0.3276715767353914,False,False,-0.48242890097789826,5.615400147453098,1.330440914329027,False,0,False,False
116110,Hospital San José (Parral),1,54,0.0566789043209997,False,False,-0.4663810887084217,6.636737723908795,2.156657150954397,False,0,False,False
112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",1,54,0.45399184586951047,False,False,-0.4603980657465071,4.799926000200593,0.6707589477197494,False,0,False,False
